time step, layer, countries that become infected 
0,0,China P.R.: Macao
0,0,China P.R.: Mainland
0,0,Cook Islands
0,0,Liberia
0,0,Virgin Islands – British
0,1,China P.R.: Mainland
0,1,Cook Islands
0,1,Samoa
0,1,Virgin Islands – British
0,2,China P.R.: Macao
0,2,China P.R.: Mainland
0,2,Cook Islands
0,2,Liberia
0,2,Virgin Islands – British
0,4,Brunei Darussalam
0,4,China P.R.: Macao
0,4,China P.R.: Mainland
0,4,Philippines
1,0,American Samoa
1,0,Anguilla
1,0,Barbados
1,0,Belize
1,0,Benin
1,0,Bhutan
1,0,Bolivia
1,0,Bouvet Island
1,0,Burkina Faso
1,0,Cabo Verde
1,0,Cambodia
1,0,Cameroon
1,0,Chad
1,0,Djibouti
1,0,Equatorial Guinea
1,0,Eritrea
1,0,Fiji
1,0,Gambia – The
1,0,Guinea-Bissau
1,0,Haiti
1,0,Honduras
1,0,Indonesia
1,0,Kiribati
1,0,Korea – Democratic People's Rep. Of
1,0,Korea – Republic of
1,0,Kyrgyz Republic
1,0,Lao People's – Democratic Republic
1,0,Marshall Islands  - Republic of
1,0,Mauritius
1,0,Myanmar
1,0,Nauru
1,0,Niger
1,0,Niue
1,0,Papua New Guinea
1,0,Sierra Leone
1,0,Singapore
1,0,Solomon Islands
1,0,Somalia
1,0,Suriname
1,0,Taiwan Province of China
1,0,Tonga
1,0,Tuvalu
1,0,US Pacific Islands
1,0,US Virgin Islands
1,0,Vanuatu
1,0,Western Sahara
1,0,Yemen - Republic of
1,1,Kyrgyz Republic
1,2,American Samoa
1,2,Anguilla
1,2,Barbados
1,2,Belize
1,2,Benin
1,2,Bhutan
1,2,Bolivia
1,2,Bouvet Island
1,2,Burkina Faso
1,2,Cabo Verde
1,2,Cambodia
1,2,Cameroon
1,2,Chad
1,2,Djibouti
1,2,Equatorial Guinea
1,2,Eritrea
1,2,Fiji
1,2,Gambia – The
1,2,Guinea-Bissau
1,2,Haiti
1,2,Honduras
1,2,Indonesia
1,2,Kiribati
1,2,Korea – Democratic People's Rep. Of
1,2,Korea – Republic of
1,2,Kyrgyz Republic
1,2,Lao People's – Democratic Republic
1,2,Marshall Islands  - Republic of
1,2,Mauritius
1,2,Myanmar
1,2,Nauru
1,2,Niger
1,2,Niue
1,2,Papua New Guinea
1,2,Sierra Leone
1,2,Singapore
1,2,Solomon Islands
1,2,Somalia
1,2,Suriname
1,2,Taiwan Province of China
1,2,Tonga
1,2,Tuvalu
1,2,US Pacific Islands
1,2,US Virgin Islands
1,2,Vanuatu
1,2,Western Sahara
1,2,Yemen - Republic of
2,0,Congo -  Republic of
2,0,French Territories: New Caledonia
2,0,Malaysia
2,0,Mongolia
2,0,Nepal
2,0,Qatar
2,0,Reunion
2,0,Seychelles
2,0,St. Lucia
2,0,Thailand
2,0,Trinidad and Tobago
2,0,Turks and Caicos Islands
2,1,Tajikistan
2,1,Uzbekistan
2,2,Congo -  Republic of
2,2,French Territories: New Caledonia
2,2,Malaysia
2,2,Mongolia
2,2,Nepal
2,2,Qatar
2,2,Reunion
2,2,Seychelles
2,2,St. Lucia
2,2,Thailand
2,2,Trinidad and Tobago
2,2,Turks and Caicos Islands
3,0,Central African Republic
3,0,French Territories: French Polynesia
3,0,Guadeloupe
3,0,Guam
3,0,Sudan
3,0,Vatican
3,1,Bangladesh
3,1,Guatemala
3,1,Mauritania
3,1,Peru
3,2,Central African Republic
3,2,French Territories: French Polynesia
3,2,Guadeloupe
3,2,Guam
3,2,Sudan
3,2,Vatican
3,4,Palau
3,4,Vietnam
4,1,Algeria
5,0,Cayman Islands
5,0,Colombia
5,0,Dominican Republic
5,0,Ecuador
5,0,Sri Lanka
5,0,Uruguay
5,2,Cayman Islands
5,2,Colombia
5,2,Dominican Republic
5,2,Ecuador
5,2,Sri Lanka
5,2,Uruguay
6,0,Chile
6,0,Paraguay
6,2,Chile
6,2,Paraguay
7,0,Argentina
7,0,Costa Rica
7,2,Argentina
7,2,Costa Rica
8,4,Panama
9,4,Nicaragua
10,0,Aruba
10,0,El Salvador
10,0,Jamaica
10,1,Jamaica
10,1,Puerto Rico
10,2,Aruba
10,2,El Salvador
10,2,Jamaica
12,1,St. Kitts and Nevis
